country,hour,volume_up,price_up,volume_down,price_down
UA,2022-03-01T00:00:00Z,37.038,1378.97,479.121,0.01
UA,2022-03-01T01:00:00Z,56.8,1378.97,482.438,0.01
UA,2022-03-01T02:00:00Z,84.843,1378.97,761.306,0.01
UA,2022-03-01T03:00:00Z,89.97,1378.97,729.696,0.01
UA,2022-03-01T04:00:00Z,151.287,2299.88,626.012,0.41
UA,2022-03-01T05:00:00Z,459.753,2299.96,505.284,1378.97
UA,2022-03-01T06:00:00Z,603.114,2299.97,376,1378.97
UA,2022-03-01T07:00:00Z,761.041,4599.97,339.701,2646.25
UA,2022-03-01T08:00:00Z,1229.904,4599.99,235.87,2646.25
UA,2022-03-01T09:00:00Z,1422.51,4600,53.248,2646.25
UA,2022-03-01T10:00:00Z,1522.469,4600,27.224,2646.25
UA,2022-03-01T11:00:00Z,1378.488,4600,21.071,2646.25
UA,2022-03-01T12:00:00Z,1264.596,4600,25.084,2646.25
UA,2022-03-01T13:00:00Z,1085.032,4600,25.822,2646.25
UA,2022-03-01T14:00:00Z,741.088,4600,28.906,2646.25
UA,2022-03-01T15:00:00Z,720.908,4600,150.279,526.5
UA,2022-03-01T16:00:00Z,635.7,4599.97,152.2,526.5
UA,2022-03-01T17:00:00Z,507.815,4600,51.095,2646.25
UA,2022-03-01T18:00:00Z,211.795,4600,106.037,526.51
UA,2022-03-01T19:00:00Z,301.536,4600,435.052,526.5
UA,2022-03-01T20:00:00Z,153.981,2646.25,275.21,526.5
UA,2022-03-01T21:00:00Z,196.834,2646.25,549.741,342.16
UA,2022-03-01T22:00:00Z,225.882,2646.25,824.072,0.08
UA,2022-03-01T23:00:00Z,635.182,2300,826.069,0.03
UA,2022-03-02T00:00:00Z,394.353,2299.92,372,0.08
UA,2022-03-02T01:00:00Z,277.221,2299.9,467.449,0.01
UA,2022-03-02T02:00:00Z,235.424,2299.91,475,0.01
UA,2022-03-02T03:00:00Z,169.631,2299.9,462.208,0.01
UA,2022-03-02T04:00:00Z,199.64,2299.9,485.88,0.01
UA,2022-03-02T05:00:00Z,223.755,2176.43,455.608,0.01
UA,2022-03-02T06:00:00Z,503.892,1910.63,510,0.01
UA,2022-03-02T07:00:00Z,424.054,3337.56,329.245,0.07
UA,2022-03-02T08:00:00Z,653.39,4599.92,206.24,1492.92
UA,2022-03-02T09:00:00Z,993.07,4599.93,141.561,2646.25
UA,2022-03-02T10:00:00Z,1243.093,4599.94,110,2646.25
UA,2022-03-02T11:00:00Z,1230.767,4599.93,110,2646.25
UA,2022-03-02T12:00:00Z,1171.913,4599.91,110,2646.25
